rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
65,0.0,UNKNOWN,Tanadon Punpanich / Wachirawit Sothon,1785814,29160,0.0,Unknown,THAILAND,2023-10-16,MD,2023,10,2023-10,24280.0,60.0,24280.0,55.0,21800.0,61.0,21800.0,59.0,24280.0,0.0,24280.0,23515.0,1190.8946217025248,24280.0,22657.5,1202.8309410416964,24280.0,4880.0,4880.0,0.20098846787479396,0,0,0.6518815117524049,0.25943060497989834,-0.8660254037844386,0.5000000000000001
69,0.0,UNKNOWN,Chen Zhi Ray / Lu Chen,1915206,28140,0.0,Unknown,CHINESE-TAIPEI,2023-10-16,MD,2023,10,2023-10,24980.0,55.0,24390.0,54.0,22060.0,58.0,22060.0,57.0,24783.333333333332,340.6366588218736,24980.0,24198.333333333332,1086.7090993760337,24980.0,23129.166666666668,1335.5996837194768,24980.0,3160.0,3750.0,0.15375153751537507,0,0,0.6290790720409011,0.25035587188389363,-0.8660254037844386,0.5000000000000001
13,0.0,UNKNOWN,Leo Rolly Carnando / Daniel Marthin,2327123,74400,0.0,Unknown,INDONESIA,2023-10-16,MD,2023,10,2023-10,67039.0,12.0,67039.0,11.0,64139.0,11.0,63739.0,11.0,67039.0,0.0,67039.0,66072.33333333333,1497.5535605335076,67039.0,64939.0,1559.7202546365986,67039.0,7361.0,7361.0,0.10980175718611562,0,0,1.6632367789567533,0.6619217081791644,-0.8660254037844386,0.5000000000000001
38,0.0,UNKNOWN,Chiu Hsiang Chieh / Yang Ming-Tse,2333898,39880,0.0,Unknown,CHINESE-TAIPEI,2023-10-16,MD,2023,10,2023-10,33260.0,38.0,33260.0,38.0,32830.0,40.0,31360.0,40.0,33260.0,0.0,33260.0,33178.333333333336,305.5105017289213,33630.0,32759.166666666668,704.2914987074345,33630.0,6620.0,6620.0,0.19903788334335548,0,0,0.8915306820537006,0.3548042704594769,-0.8660254037844386,0.5000000000000001
32,0.0,UNKNOWN,Jeppe Bay / Lasse Mølhede,2338719,42280,0.0,Unknown,DENMARK,2023-10-16,MD,2023,10,2023-10,35410.0,34.0,35410.0,34.0,35410.0,33.0,35750.0,33.0,35410.0,0.0,35410.0,35410.0,0.0,35410.0,36105.0,968.5650116632139,37410.0,6870.0,6870.0,0.19401299068059874,0,0,0.9451834813748862,0.3761565836265467,-0.8660254037844386,0.5000000000000001
64,0.0,UNKNOWN,Muhammad Rayhan Nur Fadillah / Rahmat Hidayat,2493909,29200,0.0,Unknown,INDONESIA,2023-10-16,MD,2023,10,2023-10,17920.0,84.0,17920.0,80.0,18130.0,72.0,20330.0,63.0,17920.0,0.0,17920.0,18025.0,115.02173707606221,18130.0,19177.5,1206.2422868335582,20330.0,11280.0,11280.0,0.6294642857142858,0,0,0.6527757250744247,0.25978647686601614,-0.8660254037844386,0.5000000000000001
23,0.0,UNKNOWN,Goh Sze Fei / Nur Izzuddin,2558422,53800,0.0,Unknown,MALAYSIA,2023-10-16,MD,2023,10,2023-10,43140.0,26.0,37640.0,29.0,32600.0,41.0,32540.0,38.0,41306.666666666664,3175.4264805429157,43140.0,37793.333333333336,4715.127428465379,43140.0,36625.0,3840.720813029417,43140.0,10660.0,16160.0,0.42933049946865043,0,0,1.2027169181165769,0.4786476868284818,-0.8660254037844386,0.5000000000000001
8,0.0,UNKNOWN,Liu Yuchen / Ou Xuanyi,4848050,83438,0.0,Unknown,CHINA,2023-10-16,MD,2023,10,2023-10,75758.0,8.0,75208.0,8.0,73408.0,7.0,69358.0,7.0,75391.33333333333,317.54264805429625,75758.0,74999.66666666667,810.1954496704799,75758.0,73066.33333333333,2266.8393427989126,75758.0,7680.0,8230.0,0.1094298478885225,1,45,1.865284279067118,0.7423309608474882,-0.8660254037844386,0.5000000000000001
62,0.0,UNKNOWN,Julien Maio / William Villeger,7219835,29400,0.0,Unknown,FRANCE,2023-10-16,MD,2023,10,2023-10,21470.0,69.0,21470.0,64.0,21470.0,63.0,21470.0,62.0,21470.0,0.0,21470.0,21470.0,0.0,21470.0,21470.0,0.0,21470.0,7930.0,7930.0,0.3693525850023289,0,0,0.6572467916845235,0.2615658362966053,-0.8660254037844386,0.5000000000000001
35,0.0,UNKNOWN,Sabar Karyaman Gutama / Moh Reza Pahlevi Isfahani,7687848,40680,0.0,Unknown,INDONESIA,2023-10-16,MD,2023,10,2023-10,30010.0,44.0,30010.0,44.0,27130.0,48.0,21720.0,61.0,30010.0,0.0,30010.0,29820.0,1490.3288227770445,31750.0,26510.0,3682.2646193983387,31750.0,10670.0,10670.0,0.3555481506164613,0,0,0.9094149484940958,0.36192170818183345,-0.8660254037844386,0.5000000000000001
