rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
9,0.0,TPE,Chou Tien Chen,34810,71497,27.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,71497.0,9.0,72877.0,8.0,74477.0,9.0,71877.0,9.0,72417.0,796.7433714816888,72877.0,73447.0,1235.718414526557,74477.0,72562.0,1287.4816856597204,74477.0,0.0,-1380.0,-0.018936015478134394,1,17,1.7520768495171888,0.7206269213251966,-0.5000000000000004,0.8660254037844384
18,1.0,HKG,Ng Ka Long Angus,45171,56706,24.0,Asia,HONG KONG CHINA,2024-11-26,MS,2024,11,2024-11,54256.0,19.0,54256.0,19.0,54976.0,20.0,51576.0,21.0,54256.0,0.0,54256.0,54496.0,371.8064012358945,54976.0,53602.666666666664,1527.953672151887,54976.0,2450.0,2450.0,0.0451562960778531,0,0,1.3896145268853477,0.5715466411271326,-0.5000000000000004,0.8660254037844384
98,1.0,HKG,Chan Yin Chak,57924,19139,15.0,Asia,HONG KONG CHINA,2024-11-26,MS,2024,11,2024-11,19139.0,97.0,17899.0,100.0,19579.0,94.0,21249.0,85.0,18725.666666666668,715.9143337951384,19139.0,19152.333333333332,650.7431649019941,19579.0,19529.0,979.545349082451,21249.0,0.0,1240.0,0.06927761327448456,0,0,0.4690126693834633,0.19290429874320514,-0.5000000000000004,0.8660254037844384
1,0.0,CHN,Shi Yu Qi,57945,99215,14.0,Asia,CHINA,2024-11-26,MS,2024,11,2024-11,98115.0,1.0,99315.0,1.0,99315.0,1.0,102415.0,1.0,98915.0,692.8203230275321,99315.0,99115.0,489.89794855653327,99315.0,100306.66666666667,1484.745667436331,102415.0,1100.0,-100.0,-0.001006897246136007,1,58,2.431323057259016,0.999999999989921,-0.5000000000000004,0.8660254037844384
38,0.0,INA,Alwi Farhan,58089,38002,16.0,Asia,INDONESIA,2024-11-26,MS,2024,11,2024-11,38002.0,38.0,38002.0,37.0,35252.0,44.0,31382.0,51.0,38002.0,0.0,38002.0,36627.0,1506.2370331392522,38002.0,34919.5,2329.4561401947194,38002.0,0.0,0.0,0.0,0,0,0.9312617932969525,0.3830267600626617,-0.5000000000000004,0.8660254037844384
70,1.0,TPE,Kuo Kuan Lin,59077,23640,19.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,23640.0,71.0,23490.0,74.0,25000.0,72.0,21580.0,86.0,23590.0,86.60254037841833,23640.0,23791.666666666668,596.5037021399505,25000.0,23805.0,858.6935107793198,25000.0,0.0,150.0,0.0063856960408683605,0,0,0.5793123728630061,0.23827042281672864,-0.5000000000000004,0.8660254037844384
23,1.0,TPE,Lee Chia Hao,59322,51125,26.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,51125.0,24.0,51125.0,24.0,51955.0,22.0,50545.0,24.0,51125.0,0.0,51125.0,51263.333333333336,338.84608108502704,51955.0,51332.5,548.9349191432194,51955.0,0.0,0.0,0.0,0,0,1.2528487759146016,0.5152950662650275,-0.5000000000000004,0.8660254037844384
48,0.0,JPN,Riku Hatano,62018,33030,13.0,Asia,JAPAN,2024-11-26,MS,2024,11,2024-11,33030.0,48.0,31930.0,48.0,29910.0,53.0,24830.0,71.0,32663.333333333332,635.0852961085844,33030.0,31898.333333333332,1151.6321750744296,33030.0,29309.166666666668,3338.125381199148,33030.0,0.0,1100.0,0.0344503601628563,0,0,0.8094199524393015,0.3329133699507845,-0.5000000000000004,0.8660254037844384
7,3.0,JPN,Kodai Naraoka,62063,76847,20.0,Asia,JAPAN,2024-11-26,MS,2024,11,2024-11,81847.0,4.0,81847.0,4.0,81847.0,5.0,79297.0,7.0,81847.0,0.0,81847.0,81847.0,0.0,81847.0,81509.5,1793.9449925690774,84197.0,-5000.0,-5000.0,-0.06108959399855829,1,58,1.8831818069967607,0.7745502192130772,-0.5000000000000004,0.8660254037844384
74,0.0,IND,Mithun Manjunath,62720,23170,15.0,Asia,INDIA,2024-11-26,MS,2024,11,2024-11,23170.0,74.0,20690.0,84.0,21920.0,77.0,22470.0,82.0,21516.666666666668,1431.8286675902714,23170.0,21718.333333333332,932.1248128156808,23170.0,22094.166666666668,740.9632346827639,23170.0,0.0,2480.0,0.11986466892218473,0,0,0.5677947410844268,0.23353323589947556,-0.5000000000000004,0.8660254037844384
5,0.0,THA,Kunlavut Vitidsarn,64032,81408,17.0,Asia,THAILAND,2024-11-26,MS,2024,11,2024-11,81408.0,5.0,80828.0,5.0,80828.0,6.0,75758.0,8.0,81214.66666666667,334.8631561300532,81408.0,81021.33333333333,299.51071210664975,81408.0,79564.66666666667,2316.856543341496,81408.0,0.0,580.0,0.007175731182263556,1,58,1.9949518464480371,0.820521090552633,-0.5000000000000004,0.8660254037844384
83,0.0,TPE,Liao Jhuo-Fu,64081,21270,16.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,21270.0,83.0,23450.0,75.0,21570.0,79.0,20590.0,89.0,21996.666666666668,1258.6235868333824,23450.0,22310.0,1058.4516994175983,23450.0,21593.333333333332,1129.8216539334721,23450.0,0.0,-2180.0,-0.09296375266524515,0,0,0.5212341019795321,0.21438290580845254,-0.5000000000000004,0.8660254037844384
64,0.0,VIE,Nguyen Hai Dang,64648,25870,14.0,Asia,VIETNAM,2024-11-26,MS,2024,11,2024-11,25870.0,64.0,25570.0,65.0,24290.0,74.0,23700.0,75.0,25770.0,173.2050807568884,25870.0,24903.333333333332,965.7052690477908,25870.0,24548.333333333332,792.3134518993148,25870.0,0.0,300.0,0.011732499022291787,0,0,0.6339598598124351,0.26074686287092935,-0.5000000000000004,0.8660254037844384
95,2.0,SRI,Viren Nettasinghe,64666,19330,14.0,Asia,SRI LANKA,2024-11-26,MS,2024,11,2024-11,19330.0,93.0,19330.0,94.0,19480.0,94.0,22830.0,79.0,19330.0,0.0,19330.0,19380.0,77.45966692414834,19480.0,20825.833333333332,1770.1384554647248,22830.0,0.0,0.0,0.0,0,0,0.4736932388934817,0.19482941087340797,-0.5000000000000004,0.8660254037844384
37,0.0,KOR,Jeon Hyeok Jin,65580,38443,20.0,Asia,KOREA,2024-11-26,MS,2024,11,2024-11,38443.0,37.0,38443.0,36.0,38443.0,37.0,37593.0,40.0,38443.0,0.0,38443.0,38443.0,0.0,38443.0,38301.333333333336,330.86205126855884,38443.0,0.0,0.0,0.0,0,0,0.9420687626891938,0.3874716524679991,-0.5000000000000004,0.8660254037844384
43,0.0,HKG,Jason Gunawan,65634,35436,16.0,Asia,HONG KONG CHINA,2024-11-26,MS,2024,11,2024-11,35436.0,43.0,33106.0,47.0,34616.0,45.0,28336.0,59.0,34659.333333333336,1345.226127211827,35436.0,34134.333333333336,1165.597128800021,35436.0,32886.833333333336,2292.765136183186,35436.0,0.0,2330.0,0.07037999154231867,0,0,0.8683804249058157,0.35716373531868,-0.5000000000000004,0.8660254037844384
36,1.0,IND,Kiran George,68317,38815,21.0,Asia,INDIA,2024-11-26,MS,2024,11,2024-11,38815.0,35.0,36665.0,41.0,37765.0,38.0,37215.0,41.0,38098.333333333336,1241.3030787576968,38815.0,37565.0,1057.8279633286304,38815.0,37527.5,742.5769014354798,38815.0,0.0,2150.0,0.05863902904677487,0,0,0.9511848457139416,0.3912210855173994,-0.5000000000000004,0.8660254037844384
