rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
65,0.0,ESP,Pablo Abian,14251,24956,15.0,Europe,SPAIN,2024-11-26,MS,2024,11,2024-11,24956.0,65.0,26086.0,63.0,26086.0,69.0,27216.0,63.0,25709.333333333332,652.4058041842753,26086.0,25897.666666666668,461.32056822420765,26086.0,26306.833333333332,553.7550875339144,27216.0,0.0,-1130.0,-0.04331825500268338,0,0,0.6312139369569596,0.25153454618503723,-0.5000000000000004,0.8660254037844384
3,1.0,DEN,Viktor Axelsen,25831,92290,14.0,Europe,DENMARK,2024-11-26,MS,2024,11,2024-11,91010.0,2.0,93790.0,2.0,93790.0,2.0,96590.0,2.0,92863.33333333333,1605.033748347145,93790.0,93326.66666666667,1134.9302474895194,93790.0,93385.0,1844.2662990517538,96590.0,1280.0,-1500.0,-0.015993176244802232,1,58,2.3342977336815918,0.9302020863686923,-0.5000000000000004,0.8660254037844384
9,0.0,TPE,Chou Tien Chen,34810,71497,27.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,71497.0,9.0,72877.0,8.0,74477.0,9.0,71877.0,9.0,72417.0,796.7433714816888,72877.0,73447.0,1235.718414526557,74477.0,72562.0,1287.4816856597204,74477.0,0.0,-1380.0,-0.018936015478134394,1,17,1.8083788608195122,0.7206269213251966,-0.5000000000000004,0.8660254037844384
18,1.0,HKG,Ng Ka Long Angus,45171,56706,24.0,Asia,HONG KONG CHINA,2024-11-26,MS,2024,11,2024-11,54256.0,19.0,54256.0,19.0,54976.0,20.0,51576.0,21.0,54256.0,0.0,54256.0,54496.0,371.8064012358945,54976.0,53602.666666666664,1527.953672151887,54976.0,2450.0,2450.0,0.0451562960778531,0,0,1.4342690138275906,0.5715466411271326,-0.5000000000000004,0.8660254037844384
61,1.0,ISR,Misha Zilberman,52953,26341,13.0,Europe,ISRAEL,2024-11-26,MS,2024,11,2024-11,26341.0,62.0,25511.0,66.0,25581.0,71.0,27461.0,62.0,25787.666666666668,479.20072342715883,26341.0,25429.333333333332,685.8401174227331,26341.0,25707.666666666668,746.7667681820402,27461.0,0.0,830.0,0.03253498490847084,0,0,0.6662448434598203,0.2654941289092829,-0.5000000000000004,0.8660254037844384
66,0.0,GUA,Kevin Cordon,54897,24166,9.0,Pan America,GUATEMALA,2024-11-26,MS,2024,11,2024-11,24166.0,66.0,24916.0,69.0,29866.0,54.0,35916.0,44.0,23832.666666666668,1282.9003598617198,24916.0,26441.0,3544.3969867948404,31616.0,29224.333333333332,4133.886204470914,35916.0,0.0,-750.0,-0.030101139829828205,0,0,0.6112324090600211,0.24357204051561185,-0.5000000000000004,0.8660254037844384
91,7.0,GER,Fabian Roth,57297,19729,15.0,Europe,GERMANY,2024-11-26,MS,2024,11,2024-11,19049.0,98.0,19879.0,89.0,20539.0,87.0,21219.0,87.0,19602.333333333332,479.20072342738814,19879.0,19850.666666666668,473.21946987279523,20539.0,20251.5,558.6530066313052,21219.0,680.0,-150.0,-0.007545651189697633,0,0,0.4990070428844309,0.1988509801925228,-0.5000000000000004,0.8660254037844384
98,1.0,HKG,Chan Yin Chak,57924,19139,15.0,Asia,HONG KONG CHINA,2024-11-26,MS,2024,11,2024-11,19139.0,97.0,17899.0,100.0,19579.0,94.0,21249.0,85.0,18725.666666666668,715.9143337951384,19139.0,19152.333333333332,650.7431649019941,19579.0,19529.0,979.545349082451,21249.0,0.0,1240.0,0.06927761327448456,0,0,0.4840841296449451,0.19290429874320514,-0.5000000000000004,0.8660254037844384
1,0.0,CHN,Shi Yu Qi,57945,99215,14.0,Asia,CHINA,2024-11-26,MS,2024,11,2024-11,98115.0,1.0,99315.0,1.0,99315.0,1.0,102415.0,1.0,98915.0,692.8203230275321,99315.0,99115.0,489.89794855653327,99315.0,100306.66666666667,1484.745667436331,102415.0,1100.0,-100.0,-0.001006897246136007,1,58,2.5094522661958947,0.999999999989921,-0.5000000000000004,0.8660254037844384
38,0.0,INA,Alwi Farhan,58089,38002,16.0,Asia,INDONESIA,2024-11-26,MS,2024,11,2024-11,38002.0,38.0,38002.0,37.0,35252.0,44.0,31382.0,51.0,38002.0,0.0,38002.0,36627.0,1506.2370331392522,38002.0,34919.5,2329.4561401947194,38002.0,0.0,0.0,0.0,0,0,0.9611873710626054,0.3830267600626617,-0.5000000000000004,0.8660254037844384
