rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
42,0.0,UNKNOWN,Hsieh Pei Shan / Tseng Yu-Chi,1124197,38300,0.0,Unknown,CHINESE-TAIPEI,2023-10-16,WD,2023,10,2023-10,31370.0,42.0,31370.0,41.0,28070.0,44.0,27980.0,44.0,31370.0,0.0,31370.0,30270.0,1704.1126723312627,31370.0,29155.0,1636.2234788460516,31370.0,6930.0,6930.0,0.22091169907554997,0,0,0.8862654209640167,0.31393442622693496,-0.8660254037844386,0.5000000000000001
52,0.0,UNKNOWN,Srivedya Gurazada / Ishika Jaiswal,3847376,32240,0.0,Unknown,INDIA,2023-10-16,WD,2023,10,2023-10,24790.0,53.0,24790.0,51.0,26670.0,45.0,25390.0,48.0,24790.0,0.0,24790.0,25730.0,1029.7184081097132,26670.0,26093.333333333332,866.0813874555772,26670.0,7450.0,7450.0,0.30052440500201705,0,0,0.7460364796835482,0.26426229507980115,-0.8660254037844386,0.5000000000000001
48,0.0,UNKNOWN,Lui Lok Lok / Ng Wing Yung,4437287,36550,0.0,Unknown,HONG-KONG,2023-10-16,WD,2023,10,2023-10,30310.0,44.0,27310.0,47.0,25450.0,48.0,24150.0,50.0,28310.0,1732.0508075688783,30310.0,27541.666666666668,1562.055270042217,30310.0,25954.166666666668,1996.594638757492,30310.0,6240.0,9240.0,0.3383376052727938,0,0,0.8457702646536503,0.2995901639319706,-0.8660254037844386,0.5000000000000001
14,0.0,UNKNOWN,Rena Miyaura / Ayako Sakuramoto,5845583,70840,0.0,Unknown,JAPAN,2023-10-16,WD,2023,10,2023-10,58350.0,13.0,60000.0,13.0,54260.0,13.0,50921.0,13.0,58900.0,952.6279441629009,60000.0,58295.0,2115.020094467187,60000.0,55781.0,3166.5968253860656,60000.0,12490.0,10840.0,0.18066666666666675,0,0,1.6392439274436277,0.5806557377001585,-0.8660254037844386,0.5000000000000001
11,0.0,UNKNOWN,Jongkolphan Kititharakul / Rawinda Prajongjai,6276884,77613,0.0,Unknown,THAILAND,2023-10-16,WD,2023,10,2023-10,69673.0,10.0,69673.0,10.0,69673.0,9.0,69673.0,9.0,69673.0,0.0,69673.0,69673.0,0.0,69673.0,69673.0,0.0,69673.0,7940.0,7940.0,0.11396093178132127,0,0,1.7959717524094054,0.6361721311423265,-0.8660254037844386,0.5000000000000001
67,0.0,UNKNOWN,Ridya Aulia Fatasya / Kelly Larissa,7570289,27480,0.0,Unknown,INDONESIA,2023-10-16,WD,2023,10,2023-10,18940.0,70.0,18940.0,69.0,18960.0,67.0,18960.0,62.0,18940.0,0.0,18940.0,19346.666666666668,622.3075338340898,20150.0,19153.333333333332,465.624377160459,20150.0,8540.0,8540.0,0.450897571277719,0,0,0.635889654519352,0.225245901637498,-0.8660254037844386,0.5000000000000001
18,0.0,UNKNOWN,Febriana Dwipuji Kusuma / Amalia Cahaya Pratiwi,8474709,57200,0.0,Unknown,INDONESIA,2023-10-16,WD,2023,10,2023-10,50690.0,17.0,49490.0,18.0,50570.0,15.0,48120.0,17.0,49890.0,692.8203230275548,50690.0,50050.0,615.0121950010456,50690.0,49501.666666666664,929.4459085765873,50690.0,6510.0,7710.0,0.15578904829258433,0,0,1.3236131091159726,0.4688524590125504,-0.8660254037844386,0.5000000000000001
87,0.0,UNKNOWN,Serena Au Yeong / Katharina Hochmeir,9102131,21920,0.0,Unknown,AUSTRIA,2023-10-16,WD,2023,10,2023-10,16676.0,76.0,16676.0,75.0,16226.0,74.0,14326.0,84.0,16676.0,0.0,16676.0,16451.0,246.47515087732341,16676.0,15546.833333333334,1092.2159154949952,16676.0,5244.0,5244.0,0.3144639002158791,0,0,0.5072307578989882,0.17967213114606828,-0.8660254037844386,0.5000000000000001
81,0.0,UNKNOWN,Cheng Yu-Pei / Sun Wen Pei,9976379,23220,0.0,Unknown,CHINESE-TAIPEI,2023-10-16,WD,2023,10,2023-10,18010.0,71.0,16820.0,74.0,13970.0,81.0,13970.0,86.0,17613.333333333332,687.0468203356561,18010.0,16390.0,1690.999704316946,18010.0,15180.0,1702.0468960530004,18010.0,5210.0,6400.0,0.38049940546967886,0,0,0.5373128740152603,0.19032786885089897,-0.8660254037844386,0.5000000000000001
45,0.0,UNKNOWN,Liu Chiao-Yun / Wang Yu Qiao,10275633,37700,0.0,Unknown,CHINESE-TAIPEI,2023-10-16,WD,2023,10,2023-10,31620.0,41.0,30790.0,42.0,30700.0,41.0,30180.0,40.0,31343.333333333332,479.20072342739127,31620.0,31036.666666666668,453.63715309338187,31620.0,30781.666666666668,444.1300655793197,31620.0,6080.0,6910.0,0.22442351412796357,0,0,0.8723813673718911,0.30901639344009,-0.8660254037844386,0.5000000000000001
