rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
17,1.0,THA,Ratchanok Intanon,35642,55383,22.0,Asia,THAILAND,2024-11-26,WS,2024,11,2024-11,55383.0,18.0,55383.0,18.0,54913.0,19.0,49273.0,20.0,55383.0,0.0,55383.0,55304.666666666664,191.87669651801767,55383.0,52768.833333333336,2698.7251479620204,55383.0,0.0,0.0,0.0,0,0,1.2934461602047682,0.5143915963060698,-0.5000000000000004,0.8660254037844384
12,1.0,THA,Busanan Ongbamrungphan,58271,61630,23.0,Asia,THAILAND,2024-11-26,WS,2024,11,2024-11,61630.0,11.0,61630.0,11.0,61630.0,12.0,62590.0,12.0,61630.0,0.0,61630.0,61630.0,0.0,61630.0,62190.0,738.5489458759267,63430.0,0.0,0.0,0.0,0,0,1.439342160110862,0.5724130884990535,-0.5000000000000004,0.8660254037844384
25,2.0,CHN,Zhang Yi Man,58720,49120,15.0,Asia,CHINA,2024-11-26,WS,2024,11,2024-11,49120.0,23.0,49120.0,22.0,53490.0,20.0,57090.0,16.0,49120.0,0.0,49120.0,50068.333333333336,1757.4574437712097,53490.0,52079.166666666664,2800.7254200988505,57090.0,0.0,0.0,0.0,0,0,1.147176487175816,0.4562214977620235,-0.5000000000000004,0.8660254037844384
55,0.0,MAS,Karupathevan Letshanaa,59367,29402,17.0,Asia,MALAYSIA,2024-11-26,WS,2024,11,2024-11,29402.0,55.0,29402.0,55.0,25702.0,68.0,27062.0,64.0,29402.0,0.0,29402.0,27740.333333333332,1866.4449273060977,29402.0,26947.833333333332,1578.8629875113681,29402.0,0.0,0.0,0.0,0,0,0.6866710723929833,0.2730827458713154,-0.5000000000000004,0.8660254037844384
70,1.0,IND,Unnati Hooda,59687,25480,10.0,Asia,INDIA,2024-11-26,WS,2024,11,2024-11,25480.0,69.0,25480.0,67.0,32680.0,47.0,30600.0,48.0,25480.0,0.0,25480.0,27820.0,2971.4104395051186,32680.0,29210.0,2474.0765035573468,32680.0,0.0,0.0,0.0,0,0,0.595074448152276,0.23665561406710828,-0.5000000000000004,0.8660254037844384
5,0.0,TPE,Tai Tzu Ying,61427,79021,12.0,Asia,CHINESE TAIPEI,2024-11-26,WS,2024,11,2024-11,79641.0,5.0,80831.0,5.0,87111.0,5.0,90471.0,3.0,80434.33333333333,687.0468203356634,80831.0,82517.66666666667,3133.2517719881157,87111.0,85094.33333333333,3544.0714473952166,90471.0,-620.0,-1810.0,-0.022392398955846105,1,58,1.8455014900879512,0.7339389042071022,-0.5000000000000004,0.8660254037844384
63,1.0,TPE,Tung Ciou-Tong,61614,26980,14.0,Asia,CHINESE TAIPEI,2024-11-26,WS,2024,11,2024-11,26980.0,62.0,25750.0,65.0,22440.0,85.0,19311.0,97.0,26570.0,710.1408311032335,26980.0,25508.333333333332,1672.8110074561996,26980.0,22524.333333333332,3327.511172943013,26980.0,0.0,1230.0,0.04776699029126208,0,0,0.630106303420267,0.2505874594792222,-0.5000000000000004,0.8660254037844384
2,0.0,CHN,Wang Zhi Yi,61854,92815,19.0,Asia,CHINA,2024-11-26,WS,2024,11,2024-11,94095.0,2.0,94095.0,3.0,89515.0,3.0,83815.0,6.0,94095.0,0.0,94095.0,93331.66666666667,1869.7771703247017,94095.0,90343.33333333333,4262.218443557894,94095.0,-1280.0,-1280.0,-0.013603273287634887,1,53,2.1676544311323975,0.8620561546169017,-0.5000000000000004,0.8660254037844384
94,9.0,THA,Lalinrat Chaiwan,62301,19620,6.0,Asia,THAILAND,2024-11-26,WS,2024,11,2024-11,22280.0,85.0,27550.0,60.0,23330.0,80.0,21720.0,85.0,25236.666666666668,2693.2570121199606,27550.0,24986.666666666668,1889.4620045575753,27550.0,23896.666666666668,2344.3368255255687,27550.0,-2660.0,-7930.0,-0.28784029038112524,0,0,0.4582166669053239,0.18222853799044994,-0.5000000000000004,0.8660254037844384
58,1.0,MYA,Thet Htar Thuzar,62385,28850,20.0,Asia,MYANMAR,2024-11-26,WS,2024,11,2024-11,29290.0,57.0,29290.0,57.0,30480.0,54.0,30090.0,50.0,29290.0,0.0,29290.0,29488.333333333332,485.81546565199864,30480.0,29865.833333333332,545.0514293221045,30480.0,-440.0,-440.0,-0.015022191874359825,0,0,0.6737793496543626,0.2679558267596575,-0.5000000000000004,0.8660254037844384
