rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
7,0.0,ESP,Carolina Marin,18228,74996,10.0,Europe,SPAIN,2024-11-26,WS,2024,11,2024-11,77656.0,7.0,80036.0,6.0,87736.0,4.0,88286.0,4.0,79242.66666666667,1374.093640671331,80036.0,81487.66666666667,3572.1837392086068,87736.0,84657.66666666667,4097.020720948105,88286.0,-2660.0,-5040.0,-0.06297166275176169,1,58,2.4099042120755523,0.999999999986666,-0.5000000000000004,0.8660254037844384
30,0.0,SCO,Kirsty Gilmour,48528,44979,19.0,Europe,SCOTLAND,2024-11-26,WS,2024,11,2024-11,44979.0,30.0,45829.0,28.0,48449.0,22.0,46649.0,21.0,45545.666666666664,490.7477288111759,45829.0,46877.333333333336,1514.4162791869778,48449.0,47163.166666666664,1303.4113167400994,48449.0,0.0,-850.0,-0.018547208099674917,0,0,1.4453448391240369,0.5997519867646308,-0.5000000000000004,0.8660254037844384
92,14.0,BEL,Lianne Tan,55318,20434,9.0,Europe,BELGIUM,2024-11-26,WS,2024,11,2024-11,23094.0,78.0,23094.0,78.0,24874.0,76.0,28104.0,59.0,23094.0,0.0,23094.0,23687.333333333332,919.188047499848,24874.0,24964.833333333332,1623.3828783429137,28104.0,-2660.0,-2660.0,-0.11518143240668577,0,0,0.6566214554049794,0.2724678649491644,-0.5000000000000004,0.8660254037844384
74,1.0,CZE,Tereza Švábíková,60397,24186,17.0,Europe,CZECHIA,2024-11-26,WS,2024,11,2024-11,24186.0,73.0,25266.0,70.0,25816.0,67.0,25796.0,71.0,24546.0,623.538290724796,25266.0,25181.0,799.6186591119545,25816.0,25488.5,627.5221835992063,25816.0,0.0,-1080.0,-0.042745191165993845,0,0,0.7771873603026737,0.32249719984635855,-0.5000000000000004,0.8660254037844384
91,2.0,HUN,Vivien Sandorhazi,61949,20955,22.0,Europe,HUNGARY,2024-11-26,WS,2024,11,2024-11,20955.0,93.0,21105.0,93.0,21255.0,94.0,21255.0,90.0,20955.0,150.00000000000932,21105.0,21105.0,189.73665961003348,21255.0,21180.0,149.99999999994694,21255.0,0.0,-150.0,-0.007107320540156392,0,0,0.6733631495552189,0.2794149021243878,-0.5000000000000004,0.8660254037844384
23,2.0,DEN,Line Højmark Kjaersfeldt,63437,50286,23.0,Europe,DENMARK,2024-11-26,WS,2024,11,2024-11,51006.0,21.0,51006.0,20.0,53106.0,21.0,54306.0,19.0,51006.0,0.0,51006.0,52056.0,1150.2173707608483,53106.0,52811.0,1529.5899628807456,54546.0,-720.0,-720.0,-0.014115986354546473,0,0,1.615878756312753,0.6705157608316376,-0.5000000000000004,0.8660254037844384
64,1.0,FRA,Rosy Oktavia Pancasari,65540,26951,13.0,Europe,FRANCE,2024-11-26,WS,2024,11,2024-11,26951.0,63.0,26951.0,62.0,27931.0,59.0,28611.0,56.0,26951.0,0.0,26951.0,27114.333333333332,400.0833246545193,27931.0,27862.666666666668,826.8432118422947,28611.0,0.0,0.0,0.0,0,0,0.8660372342478028,0.3593658328396266,-0.5000000000000004,0.8660254037844384
61,3.0,DEN,Amalie Schulz,70651,27396,20.0,Europe,DENMARK,2024-11-26,WS,2024,11,2024-11,26946.0,64.0,26416.0,64.0,26326.0,65.0,23396.0,80.0,26592.666666666668,305.99564267050624,26946.0,26401.0,337.2091339212546,26946.0,25475.166666666668,1161.7029688689083,26946.0,450.0,980.0,0.03709872804360992,0,0,0.8803367618809248,0.3652994826342032,-0.5000000000000004,0.8660254037844384
99,5.0,EST,Kristin Kuuba,73015,18219,8.0,Europe,ESTONIA,2024-11-26,WS,2024,11,2024-11,20879.0,94.0,23079.0,79.0,23079.0,82.0,26109.0,67.0,22345.666666666668,1270.170592217176,23079.0,22712.333333333332,898.146239020444,23079.0,24266.5,1796.7805805233209,26109.0,-2660.0,-4860.0,-0.21058104770570651,0,0,0.58544515493899,0.24293295642110338,-0.5000000000000004,0.8660254037844384
86,1.0,HUN,Agnes Korosi,74051,21949,23.0,Europe,HUNGARY,2024-11-26,WS,2024,11,2024-11,21949.0,87.0,21239.0,92.0,21699.0,88.0,21379.0,88.0,21712.333333333332,409.91869112462985,21949.0,21705.666666666668,259.3581821856954,21949.0,21459.833333333332,417.8833750600031,21949.0,0.0,710.0,0.03342906916521504,0,0,0.7053041168975185,0.2926689423396892,-0.5000000000000004,0.8660254037844384
77,5.0,ESP,Clara Azurmendi,74218,23139,13.0,Europe,SPAIN,2024-11-26,WS,2024,11,2024-11,24279.0,72.0,24279.0,73.0,25429.0,72.0,24749.0,74.0,24279.0,0.0,24279.0,24447.333333333332,484.1659495117376,25429.0,24585.666666666668,359.3512673323649,25429.0,-1140.0,-1140.0,-0.04695415791424684,0,0,0.7435433031523843,0.3085364552735008,-0.5000000000000004,0.8660254037844384
37,0.0,DEN,Julie Dawall Jakobsen,77002,39472,19.0,Europe,DENMARK,2024-11-26,WS,2024,11,2024-11,38222.0,37.0,38082.0,37.0,37122.0,36.0,35722.0,38.0,38128.666666666664,80.8290376865501,38222.0,37228.666666666664,1078.622578415028,38222.0,37137.833333333336,1222.8837626568368,38372.0,1250.0,1390.0,0.03650018381387543,0,0,1.2683841679429064,0.5263214038011852,-0.5000000000000004,0.8660254037844384
