rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
7,0.0,ESP,Carolina Marin,18228,74996,10.0,Europe,SPAIN,2024-11-26,WS,2024,11,2024-11,77656.0,7.0,80036.0,6.0,87736.0,4.0,88286.0,4.0,79242.66666666667,1374.093640671331,80036.0,81487.66666666667,3572.1837392086068,87736.0,84657.66666666667,4097.020720948105,88286.0,-2660.0,-5040.0,-0.06297166275176169,1,58,1.9154160908420848,0.6965551190179298,-0.5000000000000004,0.8660254037844384
17,1.0,THA,Ratchanok Intanon,35642,55383,22.0,Asia,THAILAND,2024-11-26,WS,2024,11,2024-11,55383.0,18.0,55383.0,18.0,54913.0,19.0,49273.0,20.0,55383.0,0.0,55383.0,55304.666666666664,191.87669651801767,55383.0,52768.833333333336,2698.7251479620204,55383.0,0.0,0.0,0.0,0,0,1.4144952978706489,0.5143915963060698,-0.5000000000000004,0.8660254037844384
97,0.0,MRI,Kate Foo Kune,42679,19022,12.0,Africa,MAURITIUS,2024-11-26,WS,2024,11,2024-11,19272.0,97.0,20102.0,96.0,20102.0,97.0,20932.0,91.0,19825.333333333332,479.20072342739115,20102.0,19963.666666666668,338.84608108500373,20102.0,20447.833333333332,554.9030764398634,20932.0,-250.0,-1080.0,-0.05372599741319273,0,0,0.48582650914712966,0.17667437561948718,-0.5000000000000004,0.8660254037844384
30,0.0,SCO,Kirsty Gilmour,48528,44979,19.0,Europe,SCOTLAND,2024-11-26,WS,2024,11,2024-11,44979.0,30.0,45829.0,28.0,48449.0,22.0,46649.0,21.0,45545.666666666664,490.7477288111759,45829.0,46877.333333333336,1514.4162791869778,48449.0,47163.166666666664,1303.4113167400994,48449.0,0.0,-850.0,-0.018547208099674917,0,0,1.1487746059788007,0.41776031652764767,-0.5000000000000004,0.8660254037844384
15,0.0,USA,Beiwen Zhang,53806,58376,18.0,Pan America,U.S.A.,2024-11-26,WS,2024,11,2024-11,58376.0,15.0,60476.0,12.0,65356.0,10.0,65356.0,10.0,59776.0,1212.4355652982229,60476.0,62199.333333333336,2877.5661011811344,65356.0,63777.666666666664,2545.862359106519,65356.0,0.0,-2100.0,-0.034724518817382144,0,0,1.4909372462397665,0.5421902718517077,-0.5000000000000004,0.8660254037844384
92,14.0,BEL,Lianne Tan,55318,20434,9.0,Europe,BELGIUM,2024-11-26,WS,2024,11,2024-11,23094.0,78.0,23094.0,78.0,24874.0,76.0,28104.0,59.0,23094.0,0.0,23094.0,23687.333333333332,919.188047499848,24874.0,24964.833333333332,1623.3828783429137,28104.0,-2660.0,-2660.0,-0.11518143240668577,0,0,0.5218893327679764,0.1897888861007571,-0.5000000000000004,0.8660254037844384
12,1.0,THA,Busanan Ongbamrungphan,58271,61630,23.0,Asia,THAILAND,2024-11-26,WS,2024,11,2024-11,61630.0,11.0,61630.0,11.0,61630.0,12.0,62590.0,12.0,61630.0,0.0,61630.0,61630.0,0.0,61630.0,62190.0,738.5489458759267,63430.0,0.0,0.0,0.0,0,0,1.5740451981252024,0.5724130884990535,-0.5000000000000004,0.8660254037844384
25,2.0,CHN,Zhang Yi Man,58720,49120,15.0,Asia,CHINA,2024-11-26,WS,2024,11,2024-11,49120.0,23.0,49120.0,22.0,53490.0,20.0,57090.0,16.0,49120.0,0.0,49120.0,50068.333333333336,1757.4574437712097,53490.0,52079.166666666664,2800.7254200988505,57090.0,0.0,0.0,0.0,0,0,1.2545367537223746,0.4562214977620235,-0.5000000000000004,0.8660254037844384
55,0.0,MAS,Karupathevan Letshanaa,59367,29402,17.0,Asia,MALAYSIA,2024-11-26,WS,2024,11,2024-11,29402.0,55.0,29402.0,55.0,25702.0,68.0,27062.0,64.0,29402.0,0.0,29402.0,27740.333333333332,1866.4449273060977,29402.0,26947.833333333332,1578.8629875113681,29402.0,0.0,0.0,0.0,0,0,0.7509342351983969,0.2730827458713154,-0.5000000000000004,0.8660254037844384
70,1.0,IND,Unnati Hooda,59687,25480,10.0,Asia,INDIA,2024-11-26,WS,2024,11,2024-11,25480.0,69.0,25480.0,67.0,32680.0,47.0,30600.0,48.0,25480.0,0.0,25480.0,27820.0,2971.4104395051186,32680.0,29210.0,2474.0765035573468,32680.0,0.0,0.0,0.0,0,0,0.6507654007501242,0.23665561406710828,-0.5000000000000004,0.8660254037844384
