feature,importance
points_delta_1m,1725
points_lag_1,1071
points_pct_change_3m,382
points_delta_3m,345
points_roll_max_3,254
points_roll_mean_3,233
top10_streak,153
points_vs_field_max,147
points_lag_3,147
points_vs_field_mean,137
points_roll_std_3,126
points_roll_max_12,91
points_roll_max_6,72
points_lag_12,69
points_roll_mean_6,58
rank_lag_1,56
points_roll_std_6,55
points_roll_std_12,51
month_cos,36
month_sin,32
points_lag_6,30
rank_lag_3,16
points_roll_mean_12,16
rank_lag_6,14
rank_lag_12,12
