feature,importance
points_delta_1m,1748
points_lag_1,1178
points_pct_change_3m,371
points_delta_3m,345
points_vs_field_max,310
points_roll_mean_3,278
points_roll_max_3,255
top10_streak,160
points_lag_3,154
points_roll_max_6,114
points_roll_max_12,109
points_vs_field_mean,96
points_roll_std_3,90
points_roll_mean_6,64
points_roll_std_12,54
points_lag_12,50
points_roll_std_6,41
rank_lag_1,28
rank_lag_3,28
rank_lag_12,20
points_roll_mean_12,18
month_sin,18
points_lag_6,16
rank_lag_6,16
month_cos,16
