feature,importance
points_delta_1m,1722
points_lag_1,1082
points_pct_change_3m,409
points_delta_3m,336
points_roll_max_3,239
points_roll_mean_3,233
points_vs_field_max,163
points_lag_3,159
points_roll_max_12,154
top10_streak,122
points_roll_std_3,112
points_vs_field_mean,71
points_roll_max_6,63
month_cos,52
points_roll_std_12,47
month_sin,45
points_roll_std_6,44
points_lag_12,41
rank_lag_1,40
points_roll_mean_6,40
points_roll_mean_12,38
points_lag_6,34
rank_lag_3,25
rank_lag_6,22
rank_lag_12,18
